code,school_rating_mean_1500,school_rating_std_1500,school_count_1500,school_rating_mean_1000,school_rating_std_1000,school_count_1000,school_rating_mean_500,school_rating_std_500,school_count_500,school_min
SW2 5FF,3.1928571428571426,1.9275851253795293,56,2.7521739130434786,2.1481217091846436,23,1.9333333333333331,2.3811761799581315,9,0.14910389490389997
SW2 5FG,3.1928571428571426,1.9275851253795293,56,2.7521739130434786,2.1481217091846436,23,1.9333333333333331,2.3811761799581315,9,0.14910389490389997
SW2 5FH,3.1928571428571426,1.9275851253795293,56,2.7521739130434786,2.1481217091846436,23,1.9333333333333331,2.3811761799581315,9,0.14910389490389997
SW2 5FJ,3.1928571428571426,1.9275851253795293,56,2.7521739130434786,2.1481217091846436,23,1.9333333333333331,2.3811761799581315,9,0.14910389490389997
SW2 5FL,3.1928571428571426,1.9275851253795293,56,2.7521739130434786,2.1481217091846436,23,1.9333333333333331,2.3811761799581315,9,0.14910389490389997
SW2 5FN,3.1928571428571426,1.9275851253795293,56,2.7521739130434786,2.1481217091846436,23,1.9333333333333331,2.3811761799581315,9,0.14910389490389997
SW2 5FP,3.1928571428571426,1.9275851253795293,56,2.7521739130434786,2.1481217091846436,23,1.9333333333333331,2.3811761799581315,9,0.14910389490389997
SW2 5FQ,3.1928571428571426,1.9275851253795293,56,2.7521739130434786,2.1481217091846436,23,1.9333333333333331,2.3811761799581315,9,0.14910389490389997
SW2 5FR,3.1928571428571426,1.9275851253795293,56,2.7521739130434786,2.1481217091846436,23,1.9333333333333331,2.3811761799581315,9,0.14910389490389997
SW2 5HA,3.1518518518518523,1.9466217220049231,54,2.7521739130434786,2.1481217091846436,23,2.175,2.4247238428913334,8,0.11012902974984974
SW2 5HB,3.221428571428571,1.9319998386706396,56,2.7521739130434786,2.1481217091846436,23,1.9333333333333331,2.3811761799581315,9,0.1385188965782871
SW2 5HD,3.1925925925925926,1.958229066317449,54,2.7521739130434786,2.1481217091846436,23,2.4857142857142853,2.4409209815344775,7,0.0715181432289797
SW2 5HE,3.0581818181818186,1.9863134388713874,55,2.65,2.1407052687418338,22,2.175,2.4247238428913334,8,0.12873391972125964
SW2 5HF,3.0661016949152544,1.9788197605270295,59,2.847826086956522,2.105376141133022,23,2.9,2.3891421054428723,6,0.15645202546759832
SW2 5HG,3.1000000000000005,1.988878167117424,56,2.6476190476190475,2.193540299976056,21,2.09,2.2990094485330945,10,0.10331329161182683
SW2 5HH,3.0517241379310347,1.9929913494684972,58,2.460869565217391,2.1862668743430667,23,2.6125,2.2881293045380358,8,0.19077654724359913
SW2 5HJ,3.040350877192983,2.0088073619797044,57,2.460869565217391,2.1862668743430667,23,2.09,2.2990094485330945,10,0.20863501108252833
SW2 5HL,3.0946428571428575,1.984340480577147,56,2.5727272727272723,2.1693057520523578,22,2.09,2.2990094485330945,10,0.20349023758314308
SW2 5HN,3.1333333333333333,1.9870413516918397,57,2.6476190476190475,2.193540299976056,21,2.09,2.2990094485330945,10,0.10838376019625146
SW2 5HP,3.1727272727272733,1.9347173729336578,55,2.7521739130434786,2.1481217091846436,23,2.4857142857142853,2.4409209815344775,7,0.06559551448201312
SW2 5HQ,3.017543859649123,1.9934824882796673,57,2.7291666666666665,2.139581260670997,24,2.175,2.4247238428913334,8,0.1937223346930552
SW2 5HR,3.174074074074074,1.9493767930294945,54,2.7521739130434786,2.1481217091846436,23,1.9333333333333331,2.3811761799581315,9,0.11534598302436977
SW2 5HS,3.2210526315789476,1.9563757346270665,57,2.8208333333333333,2.1276603125962334,24,2.272727272727273,2.2636655711879836,11,0.04179734618310364
SW2 5HT,3.1928571428571426,1.9275851253795293,56,2.7521739130434786,2.1481217091846436,23,1.9333333333333331,2.3811761799581315,9,0.14910389490389997
