code,university_rating_mean_1500,university_rating_std_1500,university_count_1500,university_rating_mean_1000,university_rating_std_1000,university_count_1000,university_rating_mean_500,university_rating_std_500,university_count_500
SE1 7GJ,2.690909090909091,2.1810339499671003,11,4.0,0.0,1,4.0,0.0,1
SE1 7GL,3.3545454545454545,1.8164338188279303,33,2.9899999999999998,2.097326340314682,10,1.1666666666666667,2.0207259421636903,3
SE1 7GN,3.334375,1.84173995134685,32,2.9899999999999998,2.097326340314682,10,2.8333333333333335,2.250925735484551,6
SE1 7GP,3.3545454545454545,1.8164338188279303,33,2.9899999999999998,2.097326340314682,10,1.1666666666666667,2.0207259421636903,3
SE1 7GQ,3.3696969696969696,1.8240553802730415,33,2.9899999999999998,2.097326340314682,10,2.8333333333333335,2.250925735484551,6
SE1 7GR,2.466666666666667,2.219882606778743,12,4.0,0.0,1,4.0,0.0,1
SE1 7GS,2.727272727272727,2.2027668551578077,11,4.0,0.0,1,4.0,0.0,1
SE1 7GT,3.3499999999999996,1.8641735051069837,36,3.566666666666667,1.6991347278922326,18,3.4,1.981161275615895,5
SE1 7GU,3.3057142857142856,1.8720769933171988,35,3.55625,1.8040579258992766,16,3.4,1.981161275615895,5
SE1 7GX,3.3057142857142856,1.8720769933171988,35,3.5411764705882356,1.7478768633435722,17,3.4,1.981161275615895,5
SE1 7GY,3.3277777777777775,1.8498820211201286,36,3.6222222222222222,1.7302007892848246,18,3.4,1.981161275615895,5
SE1 7HA,3.4323529411764704,1.845998225192898,34,2.925,2.0052234420711272,20,1.54,2.1232051243344343,5
SE1 7HB,2.5846153846153843,2.16750476887063,13,1.3333333333333333,2.3094010767585034,3,0.0,0.0,0
SE1 7HD,2.5846153846153843,2.16750476887063,13,1.875,2.174664725116648,4,0.0,0.0,0
SE1 7HE,2.5846153846153843,2.16750476887063,13,1.3333333333333333,2.3094010767585034,3,0.0,0.0,0
SE1 7HF,2.5846153846153843,2.16750476887063,13,1.875,2.174664725116648,4,0.0,0.0,0
SE1 7HG,2.5846153846153843,2.16750476887063,13,1.875,2.174664725116648,4,0.0,0.0,0
SE1 7HH,2.685714285714286,2.1165491300180634,14,1.875,2.174664725116648,4,0.0,0.0,0
SE1 7HJ,3.4344827586206894,1.8379483635815554,29,2.761111111111111,2.0491429740514873,18,1.54,2.1232051243344343,5
SE1 7HL,3.2833333333333337,1.916009382550876,30,2.8473684210526313,2.029057915238452,19,0.7000000000000001,1.7146428199482249,6
SE1 7HN,3.2833333333333337,1.916009382550876,30,2.925,2.0052234420711272,20,1.54,2.1232051243344343,5
SE1 7HP,2.685714285714286,2.1165491300180634,14,1.875,2.174664725116648,4,0.0,0.0,0
