code,hospital_rating_mean_1500,hospital_rating_std_1500,hospital_count_1500,hospital_rating_mean_1000,hospital_rating_std_1000,hospital_count_1000,hospital_rating_mean_500,hospital_rating_std_500,hospital_count_500,hospital_min
SW4 6EW,2.1533333333333333,1.9082028443637995,15,1.885714285714286,1.7966900784763182,7,0.0,0.0,0,0.5860926279289185
SW4 6EX,1.7705882352941178,1.8075413916015703,17,2.125,1.8148199438433084,8,1.7,2.4041630560342613,2,0.3359165932980573
SW4 6EY,1.7705882352941178,1.8075413916015703,17,2.125,1.8148199438433084,8,3.4,0.0,1,0.3596218314804789
SW4 6EZ,1.88125,1.8063660574018028,16,2.042857142857143,1.944099742689096,7,3.4,0.0,1,0.39478995512944254
SW4 6FA,1.9999999999999998,1.872285914451782,12,2.25,1.9668684319423677,8,2.225,2.5773047937719746,4,0.35282898383256117
SW4 6FB,1.6625,1.8091895054600187,16,2.411111111111111,1.9022647321314432,9,0.0,0.0,1,0.222743055653054
SW4 6FD,1.88125,1.8063660574018028,16,2.125,1.8148199438433084,8,3.55,0.21213203435596445,2,0.18745214328163828
SW4 6FE,1.88125,1.8063660574018028,16,2.125,1.8148199438433084,8,3.55,0.21213203435596445,2,0.18465451721759904
SW4 6FF,1.88125,1.8063660574018028,16,2.125,1.8148199438433084,8,3.55,0.21213203435596445,2,0.21531550647835315
SW4 6HA,1.7705882352941178,1.8075413916015703,17,2.125,1.8148199438433084,8,3.4,0.0,1,0.379401430119652
SW4 6HB,1.8533333333333333,1.8661904154363955,15,1.8777777777777775,1.8342421989596807,9,0.0,0.0,0,0.508225991622816
SW4 6HD,1.8533333333333333,1.8661904154363955,15,1.8777777777777775,1.8342421989596807,9,0.0,0.0,0,0.5452449399277451
SW4 6HE,1.8533333333333333,1.8661904154363955,15,1.8777777777777775,1.8342421989596807,9,0.0,0.0,0,0.5013720775585292
SW4 6HF,1.88125,1.8063660574018028,16,1.69,1.828448036511353,10,3.4,0.0,1,0.45959889414129385
SW4 6HG,1.8533333333333333,1.8661904154363955,15,1.885714285714286,1.7966900784763182,7,0.0,0.0,0,0.5631922841520943
SW4 6HH,1.88125,1.8063660574018028,16,2.042857142857143,1.944099742689096,7,3.4,0.0,1,0.40026129385829873
SW4 6HJ,1.8533333333333333,1.8661904154363955,15,1.616666666666667,1.8071155653877442,6,0.0,0.0,0,0.5117331858798585
SW4 6HL,1.8533333333333333,1.8661904154363955,15,1.8142857142857145,1.7305380390970622,7,3.4,0.0,1,0.4719233849379955
SW4 6HN,1.88125,1.8063660574018028,16,1.8142857142857145,1.7305380390970622,7,3.4,0.0,1,0.4468930453992217
SW4 6HP,2.1533333333333333,1.9082028443637995,15,1.885714285714286,1.7966900784763182,7,0.0,0.0,0,0.5860926279289185
SW4 6HQ,2.1533333333333333,1.9082028443637995,15,1.885714285714286,1.7966900784763182,7,0.0,0.0,0,0.5860926279289185
SW4 6HR,1.8533333333333333,1.8661904154363955,15,1.65,1.7920459177790538,8,0.0,0.0,0,0.662770131250249
SW4 6HS,1.8533333333333333,1.8661904154363955,15,1.7375,1.9085802501934708,8,0.0,0.0,0,0.5964841127156116
SW4 6HT,1.8533333333333333,1.8661904154363955,15,2.7142857142857144,1.9325532087789732,7,0.0,0.0,0,0.5068273707292654
SW4 6HU,1.88125,1.8063660574018028,16,2.375,2.030306099370944,8,0.0,0.0,1,0.4352190745706921
SW4 6HW,1.8533333333333333,1.8661904154363955,15,1.885714285714286,1.7966900784763182,7,0.0,0.0,0,0.569452725835358
SW4 6HX,1.7705882352941178,1.8075413916015703,17,2.411111111111111,1.9022647321314432,9,1.7,2.4041630560342613,2,0.34424089495497656
SW4 6HZ,2.1533333333333333,1.9082028443637995,15,1.885714285714286,1.7966900784763182,7,0.0,0.0,0,0.5860926279289185
SW4 6JA,1.7705882352941178,1.8075413916015703,17,2.411111111111111,1.9022647321314432,9,0.0,0.0,1,0.31679647857018567
SW4 6JB,1.88125,1.8063660574018028,16,2.411111111111111,1.9022647321314432,9,0.0,0.0,1,0.38812611859037016
SW4 6JD,1.88125,1.8063660574018028,16,2.411111111111111,1.9022647321314432,9,0.0,0.0,1,0.35258282693646825
SW4 6JE,1.7705882352941178,1.8075413916015703,17,2.411111111111111,1.9022647321314432,9,0.0,0.0,1,0.278515553813401
SW4 6JF,1.6625,1.8091895054600187,16,2.411111111111111,1.9022647321314432,9,0.0,0.0,1,0.274454785135394
SW4 6JG,1.6625,1.8091895054600187,16,2.411111111111111,1.9022647321314432,9,2.1,2.9698484809834995,2,0.15711784920671837
SW4 6JH,2.0,1.872285914451782,12,2.411111111111111,1.9022647321314432,9,2.975,2.1077238908357994,4,0.13062465291804276
SW4 6JL,2.0,1.872285914451782,12,2.411111111111111,1.9022647321314432,9,2.65,1.8357559750685821,4,0.014784355560785348
SW4 6JN,2.0,1.872285914451782,12,2.411111111111111,1.9022647321314432,9,2.1,2.9698484809834995,2,0.11455321270630048
SW4 6JP,2.0,1.872285914451782,12,2.411111111111111,1.9022647321314432,9,2.966666666666667,2.5813433195399123,3,0.18771970007978875
SW4 6JQ,2.0,1.872285914451782,12,2.411111111111111,1.9022647321314432,9,2.1,2.9698484809834995,2,0.1266874991310742
SW4 6JR,1.6625,1.8091895054600187,16,2.411111111111111,1.9022647321314432,9,2.1,2.9698484809834995,2,0.1537243262996593
SW4 6JS,1.6625,1.8091895054600187,16,2.411111111111111,1.9022647321314432,9,0.0,0.0,1,0.2785364268511898
SW4 6JT,1.6625,1.8091895054600187,16,2.411111111111111,1.9022647321314432,9,2.1,2.9698484809834995,2,0.20624186041935355
SW4 6JU,1.7733333333333332,1.8155938291316567,15,2.411111111111111,1.9022647321314432,9,0.0,0.0,1,0.3098475467102214
SW4 6JW,1.6625,1.8091895054600187,16,2.411111111111111,1.9022647321314432,9,2.1,2.9698484809834995,2,0.24974962315817612
SW4 6JX,1.9857142857142858,1.8621150682684804,14,2.7142857142857144,1.9325532087789732,7,0.0,0.0,0,0.5326729443328471
SW4 6JY,1.9857142857142858,1.8621150682684804,14,2.1599999999999997,1.9460501306778075,10,0.0,0.0,0,0.5761913327777171
SW4 6JZ,1.9857142857142858,1.8621150682684804,14,1.7375,1.9085802501934708,8,0.0,0.0,0,0.634605439135539
SW4 6LA,1.9857142857142858,1.8621150682684804,14,1.385714285714286,1.7591935381764865,7,0.0,0.0,0,0.6596062728499782
SW4 6LB,1.9857142857142858,1.8621150682684804,14,1.385714285714286,1.7591935381764865,7,0.0,0.0,0,0.6906292070548326
SW4 6LD,1.9857142857142858,1.8621150682684804,14,1.65,1.7920459177790538,8,0.0,0.0,0,0.7179073480445222
SW4 6LE,1.7733333333333332,1.8155938291316567,15,2.411111111111111,1.9022647321314432,9,2.3666666666666667,2.0550750189064466,3,0.09597387594468997
SW4 6LF,1.88125,1.8063660574018028,16,2.7125000000000004,1.7892037335082889,8,2.3666666666666667,2.0550750189064466,3,0.12397344719196655
SW4 6LG,1.9857142857142858,1.8621150682684804,14,1.7375,1.9085802501934708,8,0.0,0.0,0,0.6734792540537353
SW4 6LH,1.7733333333333332,1.8155938291316567,15,2.411111111111111,1.9022647321314432,9,2.3666666666666667,2.0550750189064466,3,0.09949949869477176
SW4 6LJ,1.7733333333333332,1.8155938291316567,15,2.411111111111111,1.9022647321314432,9,2.3666666666666667,2.0550750189064466,3,0.17549823004832762
SW4 6LL,1.7733333333333332,1.8155938291316567,15,2.411111111111111,1.9022647321314432,9,2.3666666666666667,2.0550750189064466,3,0.23089712911788562
SW4 6LN,1.88125,1.8063660574018028,16,2.411111111111111,1.9022647321314432,9,1.7,2.4041630560342613,2,0.23646306539775638
SW4 6LP,1.7705882352941178,1.8075413916015703,17,2.411111111111111,1.9022647321314432,9,1.7,2.4041630560342613,2,0.2652666797146959
SW4 6LQ,1.6625,1.8091895054600187,16,2.411111111111111,1.9022647321314432,9,0.0,0.0,1,0.222743055653054
SW4 6LR,1.7705882352941178,1.8075413916015703,17,2.411111111111111,1.9022647321314432,9,1.7,2.4041630560342613,2,0.34975570872269574
SW4 6LS,1.88125,1.8063660574018028,16,2.375,2.030306099370944,8,0.0,0.0,1,0.4744503467306009
SW4 6LT,1.7705882352941178,1.8075413916015703,17,2.411111111111111,1.9022647321314432,9,1.7,2.4041630560342613,2,0.3774030948566035
SW4 6LU,1.88125,1.8063660574018028,16,2.411111111111111,1.9022647321314432,9,2.3666666666666667,2.0550750189064466,3,0.2513752621610632
SW4 6LW,1.7705882352941178,1.8075413916015703,17,2.411111111111111,1.9022647321314432,9,1.7,2.4041630560342613,2,0.25930589406140836
SW4 6LX,1.7733333333333332,1.8155938291316567,15,2.7125000000000004,1.7892037335082889,8,2.525,1.707581135212419,4,0.15465556550243698
SW4 6LY,1.7705882352941178,1.8075413916015703,17,2.411111111111111,1.9022647321314432,9,1.7,2.4041630560342613,2,0.2962012603080044
SW4 6NA,1.7733333333333332,1.8155938291316567,15,2.7125000000000004,1.7892037335082889,8,2.3666666666666667,2.0550750189064466,3,0.17051919280665664
SW4 6NB,1.7733333333333332,1.8155938291316567,15,2.411111111111111,1.9022647321314432,9,2.3666666666666667,2.0550750189064466,3,0.2165159345366202
SW4 6ND,1.7733333333333332,1.8155938291316567,15,2.411111111111111,1.9022647321314432,9,1.7,2.4041630560342613,2,0.1557235557096107
SW4 6NE,1.7733333333333332,1.8155938291316567,15,2.411111111111111,1.9022647321314432,9,2.1333333333333333,1.8583146486355138,3,0.12575628208708078
SW4 6NF,1.7733333333333332,1.8155938291316567,15,2.411111111111111,1.9022647321314432,9,2.8600000000000003,1.6577092628081682,5,0.12559988959923207
SW4 6NH,1.7733333333333332,1.8155938291316567,15,2.411111111111111,1.9022647321314432,9,2.525,1.707581135212419,4,0.18525259726968596
SW4 6NN,1.7733333333333332,1.8155938291316567,15,2.411111111111111,1.9022647321314432,9,1.7,2.4041630560342613,2,0.1530984552076037
SW4 6NP,1.6625,1.8091895054600187,16,2.411111111111111,1.9022647321314432,9,1.7,2.4041630560342613,2,0.14722767840680515
SW4 6NQ,1.6625,1.8091895054600187,16,2.411111111111111,1.9022647321314432,9,0.0,0.0,1,0.222743055653054
SW4 6NR,1.7733333333333332,1.8155938291316567,15,2.411111111111111,1.9022647321314432,9,2.533333333333333,2.2300971578236974,3,0.0953098714867944
SW4 6NS,1.8461538461538463,1.8764396182732983,13,2.411111111111111,1.9022647321314432,9,2.966666666666667,2.5813433195399123,3,0.21247536605922163
SW4 6NT,1.6625,1.8091895054600187,16,2.411111111111111,1.9022647321314432,9,2.1,2.9698484809834995,2,0.23766681979596269
SW4 6NU,1.6625,1.8091895054600187,16,2.411111111111111,1.9022647321314432,9,2.1,2.9698484809834995,2,0.23766681979596269
SW4 6NW,1.7733333333333332,1.8155938291316567,15,2.411111111111111,1.9022647321314432,9,2.533333333333333,2.2300971578236974,3,0.10564403739396012
